instance,J,T,C,solver,time_limit(msec),status,objective,schedule
instances/MTSP/Laporte/Tabela5/L1-1.txt,15,15,5,yuck,300000,satisfied,15,"[15, 1, 9, 6, 12, 5, 11, 8, 14, 13, 3, 7, 2, 4, 10]"
instances/MTSP/Laporte/Tabela5/L1-10.txt,15,15,5,yuck,300000,satisfied,17,"[13, 11, 8, 6, 15, 4, 9, 12, 3, 5, 10, 14, 2, 7, 1]"
instances/MTSP/Laporte/Tabela5/L1-2.txt,15,15,5,yuck,300000,satisfied,16,"[11, 14, 5, 12, 9, 3, 7, 6, 2, 15, 8, 13, 1, 10, 4]"
instances/MTSP/Laporte/Tabela5/L1-3.txt,15,15,5,yuck,300000,satisfied,16,"[5, 9, 11, 13, 7, 6, 2, 14, 10, 4, 15, 12, 1, 8, 3]"
instances/MTSP/Laporte/Tabela5/L1-4.txt,15,15,5,yuck,300000,satisfied,16,"[13, 6, 15, 9, 14, 4, 5, 7, 8, 11, 3, 12, 1, 2, 10]"
instances/MTSP/Laporte/Tabela5/L1-5.txt,15,15,5,yuck,300000,satisfied,18,"[2, 11, 6, 3, 5, 13, 1, 14, 4, 9, 7, 10, 15, 12, 8]"
instances/MTSP/Laporte/Tabela5/L1-6.txt,15,15,5,yuck,300000,satisfied,24,"[14, 10, 8, 6, 12, 1, 13, 15, 4, 2, 11, 9, 7, 3, 5]"
instances/MTSP/Laporte/Tabela5/L1-7.txt,15,15,5,yuck,150000,satisfied,14,"[10, 15, 4, 8, 1, 14, 3, 9, 5, 7, 13, 11, 2, 6, 12]"
instances/MTSP/Laporte/Tabela5/L1-8.txt,15,15,5,yuck,300000,satisfied,18,"[15, 3, 1, 14, 10, 2, 11, 4, 5, 8, 7, 12, 13, 9, 6]"
instances/MTSP/Laporte/Tabela5/L1-9.txt,15,15,5,yuck,300000,satisfied,17,"[13, 1, 11, 12, 7, 9, 8, 10, 15, 5, 4, 14, 6, 3, 2]"
instances/MTSP/Laporte/Tabela5/L10-1.txt,15,20,15,yuck,150000,satisfied,9,"[2, 12, 15, 6, 7, 3, 10, 14, 13, 5, 9, 11, 4, 1, 8]"
instances/MTSP/Laporte/Tabela5/L10-10.txt,15,20,15,yuck,150000,satisfied,6,"[7, 4, 3, 5, 13, 6, 2, 15, 12, 11, 14, 10, 1, 9, 8]"
instances/MTSP/Laporte/Tabela5/L10-2.txt,15,20,15,yuck,300000,satisfied,7,"[5, 10, 7, 8, 13, 2, 12, 15, 14, 4, 11, 9, 3, 1, 6]"
instances/MTSP/Laporte/Tabela5/L10-3.txt,15,20,15,yuck,300000,satisfied,7,"[12, 2, 3, 15, 8, 6, 9, 5, 4, 7, 10, 11, 14, 1, 13]"
instances/MTSP/Laporte/Tabela5/L10-4.txt,15,20,15,org.minizinc.mip.cplex,150000,optimal,5,"[2, 12, 1, 3, 15, 14, 4, 8, 13, 5, 9, 7, 10, 6, 11]"
instances/MTSP/Laporte/Tabela5/L10-5.txt,15,20,15,yuck,150000,satisfied,6,"[8, 4, 12, 2, 6, 5, 15, 9, 10, 14, 7, 11, 3, 13, 1]"
instances/MTSP/Laporte/Tabela5/L10-6.txt,15,20,15,yuck,150000,satisfied,7,"[2, 7, 5, 8, 10, 14, 9, 3, 11, 13, 4, 12, 15, 6, 1]"
instances/MTSP/Laporte/Tabela5/L10-7.txt,15,20,15,yuck,150000,satisfied,7,"[10, 1, 15, 11, 12, 14, 4, 6, 8, 9, 7, 5, 3, 2, 13]"
instances/MTSP/Laporte/Tabela5/L10-8.txt,15,20,15,yuck,300000,satisfied,8,"[10, 13, 11, 8, 5, 6, 14, 12, 4, 7, 1, 3, 2, 15, 9]"
instances/MTSP/Laporte/Tabela5/L10-9.txt,15,20,15,yuck,150000,satisfied,6,"[13, 3, 9, 8, 1, 10, 11, 7, 12, 6, 2, 15, 14, 4, 5]"
instances/MTSP/Laporte/Tabela5/L11-1.txt,15,20,15,yuck,150000,satisfied,12,"[4, 3, 11, 13, 10, 1, 6, 2, 5, 15, 7, 12, 14, 9, 8]"
instances/MTSP/Laporte/Tabela5/L11-10.txt,15,20,15,yuck,150000,satisfied,13,"[7, 10, 1, 6, 14, 13, 15, 11, 5, 12, 3, 8, 9, 2, 4]"
instances/MTSP/Laporte/Tabela5/L11-2.txt,15,20,15,yuck,150000,satisfied,11,"[1, 15, 3, 11, 10, 7, 2, 6, 13, 4, 12, 9, 5, 8, 14]"
instances/MTSP/Laporte/Tabela5/L11-3.txt,15,20,15,yuck,300000,satisfied,11,"[12, 15, 4, 5, 7, 6, 10, 3, 9, 2, 1, 14, 13, 8, 11]"
instances/MTSP/Laporte/Tabela5/L11-4.txt,15,20,15,yuck,150000,satisfied,11,"[7, 10, 6, 12, 3, 13, 1, 5, 15, 4, 2, 14, 9, 11, 8]"
instances/MTSP/Laporte/Tabela5/L11-5.txt,15,20,15,org.minizinc.mip.cplex,150000,satisfied,13,"[7, 8, 14, 10, 6, 12, 9, 4, 5, 1, 11, 3, 13, 2, 15]"
instances/MTSP/Laporte/Tabela5/L11-6.txt,15,20,15,org.minizinc.mip.cplex,150000,satisfied,14,"[6, 3, 5, 9, 13, 15, 10, 1, 12, 4, 8, 2, 14, 7, 11]"
instances/MTSP/Laporte/Tabela5/L11-7.txt,15,20,15,yuck,300000,satisfied,19,"[12, 1, 4, 11, 13, 2, 6, 7, 14, 15, 3, 10, 5, 8, 9]"
instances/MTSP/Laporte/Tabela5/L11-8.txt,15,20,15,org.minizinc.mip.cplex,150000,satisfied,14,"[9, 3, 13, 1, 11, 6, 2, 7, 12, 5, 4, 10, 8, 15, 14]"
instances/MTSP/Laporte/Tabela5/L11-9.txt,15,20,15,yuck,150000,satisfied,11,"[15, 6, 9, 7, 8, 5, 11, 1, 2, 10, 13, 4, 14, 3, 12]"
instances/MTSP/Laporte/Tabela5/L12-1.txt,15,20,15,yuck,150000,satisfied,6,"[3, 7, 8, 12, 4, 15, 6, 13, 10, 9, 5, 1, 14, 2, 11]"
instances/MTSP/Laporte/Tabela5/L12-10.txt,15,20,15,yuck,300000,satisfied,9,"[6, 7, 8, 13, 9, 11, 14, 3, 10, 1, 5, 15, 4, 12, 2]"
instances/MTSP/Laporte/Tabela5/L12-2.txt,15,20,15,yuck,150000,satisfied,9,"[15, 4, 7, 2, 6, 3, 5, 9, 11, 1, 12, 13, 10, 8, 14]"
instances/MTSP/Laporte/Tabela5/L12-3.txt,15,20,15,org.minizinc.mip.cplex,150000,satisfied,9,"[8, 5, 3, 6, 15, 9, 7, 4, 1, 13, 2, 11, 10, 12, 14]"
instances/MTSP/Laporte/Tabela5/L12-4.txt,15,20,15,org.minizinc.mip.cplex,150000,satisfied,7,"[2, 4, 12, 5, 1, 14, 8, 3, 7, 11, 6, 15, 9, 13, 10]"
instances/MTSP/Laporte/Tabela5/L12-5.txt,15,20,15,yuck,300000,satisfied,6,"[5, 14, 8, 2, 1, 13, 6, 12, 10, 15, 7, 3, 4, 9, 11]"
instances/MTSP/Laporte/Tabela5/L12-6.txt,15,20,15,yuck,300000,satisfied,6,"[1, 4, 15, 12, 6, 10, 3, 13, 5, 14, 7, 2, 11, 8, 9]"
instances/MTSP/Laporte/Tabela5/L12-7.txt,15,20,15,yuck,150000,satisfied,7,"[1, 7, 14, 12, 13, 9, 8, 10, 15, 4, 6, 5, 11, 3, 2]"
instances/MTSP/Laporte/Tabela5/L12-8.txt,15,20,15,yuck,150000,satisfied,9,"[8, 9, 5, 14, 1, 2, 4, 13, 12, 11, 15, 10, 7, 6, 3]"
instances/MTSP/Laporte/Tabela5/L12-9.txt,15,20,15,yuck,150000,satisfied,7,"[9, 10, 5, 14, 6, 3, 11, 7, 15, 1, 8, 12, 2, 4, 13]"
instances/MTSP/Laporte/Tabela5/L13-1.txt,15,20,15,yuck,300000,satisfied,15,"[8, 14, 3, 13, 2, 1, 12, 4, 15, 5, 6, 11, 7, 9, 10]"
instances/MTSP/Laporte/Tabela5/L13-10.txt,15,20,15,yuck,150000,satisfied,10,"[5, 10, 6, 3, 9, 8, 12, 11, 2, 15, 4, 13, 14, 1, 7]"
instances/MTSP/Laporte/Tabela5/L13-2.txt,15,20,15,yuck,150000,satisfied,14,"[6, 13, 2, 14, 15, 7, 1, 8, 3, 11, 12, 10, 4, 9, 5]"
instances/MTSP/Laporte/Tabela5/L13-3.txt,15,20,15,yuck,300000,satisfied,8,"[4, 10, 5, 12, 3, 7, 13, 15, 2, 9, 8, 6, 14, 1, 11]"
instances/MTSP/Laporte/Tabela5/L13-4.txt,15,20,15,yuck,300000,satisfied,14,"[10, 7, 4, 14, 5, 12, 2, 11, 15, 3, 9, 6, 1, 13, 8]"
instances/MTSP/Laporte/Tabela5/L13-5.txt,15,20,15,yuck,300000,satisfied,14,"[6, 5, 10, 2, 12, 4, 13, 7, 9, 3, 15, 14, 8, 1, 11]"
instances/MTSP/Laporte/Tabela5/L13-6.txt,15,20,15,yuck,150000,satisfied,14,"[7, 6, 4, 10, 13, 15, 9, 12, 3, 11, 14, 5, 2, 8, 1]"
instances/MTSP/Laporte/Tabela5/L13-7.txt,15,20,15,yuck,300000,satisfied,21,"[10, 6, 2, 8, 13, 7, 9, 5, 14, 15, 1, 11, 4, 3, 12]"
instances/MTSP/Laporte/Tabela5/L13-8.txt,15,20,15,yuck,300000,satisfied,13,"[7, 4, 14, 3, 15, 12, 5, 8, 9, 10, 2, 11, 13, 1, 6]"
instances/MTSP/Laporte/Tabela5/L13-9.txt,15,20,15,yuck,300000,satisfied,15,"[2, 9, 12, 10, 15, 11, 1, 8, 6, 14, 7, 3, 4, 13, 5]"
instances/MTSP/Laporte/Tabela5/L14-1.txt,15,20,15,yuck,300000,satisfied,23,"[7, 2, 10, 11, 8, 9, 6, 12, 4, 3, 5, 14, 13, 1, 15]"
instances/MTSP/Laporte/Tabela5/L14-10.txt,15,20,15,yuck,300000,satisfied,20,"[5, 8, 1, 10, 7, 11, 12, 6, 9, 2, 13, 15, 14, 4, 3]"
instances/MTSP/Laporte/Tabela5/L14-2.txt,15,20,15,yuck,300000,satisfied,19,"[1, 6, 13, 15, 11, 2, 12, 14, 10, 8, 5, 3, 9, 7, 4]"
instances/MTSP/Laporte/Tabela5/L14-3.txt,15,20,15,yuck,300000,satisfied,20,"[11, 15, 6, 3, 1, 14, 8, 5, 9, 13, 4, 12, 10, 2, 7]"
instances/MTSP/Laporte/Tabela5/L14-4.txt,15,20,15,yuck,150000,satisfied,19,"[7, 1, 10, 6, 15, 8, 12, 13, 5, 2, 9, 11, 4, 14, 3]"
instances/MTSP/Laporte/Tabela5/L14-5.txt,15,20,15,yuck,150000,satisfied,20,"[14, 8, 6, 15, 12, 3, 11, 1, 7, 2, 4, 5, 10, 9, 13]"
instances/MTSP/Laporte/Tabela5/L14-6.txt,15,20,15,yuck,300000,satisfied,21,"[8, 4, 12, 11, 14, 6, 3, 5, 13, 9, 7, 1, 2, 15, 10]"
instances/MTSP/Laporte/Tabela5/L14-7.txt,15,20,15,yuck,150000,satisfied,19,"[10, 2, 12, 6, 14, 11, 15, 8, 13, 1, 7, 4, 9, 5, 3]"
instances/MTSP/Laporte/Tabela5/L14-8.txt,15,20,15,yuck,300000,satisfied,25,"[10, 15, 2, 1, 9, 14, 4, 13, 11, 12, 7, 3, 8, 6, 5]"
instances/MTSP/Laporte/Tabela5/L14-9.txt,15,20,15,yuck,300000,satisfied,20,"[9, 3, 15, 11, 2, 13, 8, 1, 5, 14, 12, 4, 6, 10, 7]"
instances/MTSP/Laporte/Tabela5/L15-1.txt,15,25,5,yuck,300000,satisfied,29,"[10, 13, 14, 3, 1, 15, 5, 12, 4, 6, 2, 9, 7, 11, 8]"
instances/MTSP/Laporte/Tabela5/L15-10.txt,15,25,5,yuck,300000,satisfied,29,"[14, 9, 4, 2, 15, 5, 1, 6, 7, 10, 8, 13, 11, 12, 3]"
instances/MTSP/Laporte/Tabela5/L15-2.txt,15,25,5,yuck,300000,satisfied,29,"[9, 6, 13, 2, 11, 7, 12, 3, 5, 15, 8, 1, 10, 14, 4]"
instances/MTSP/Laporte/Tabela5/L15-3.txt,15,25,5,yuck,300000,satisfied,25,"[15, 9, 3, 13, 6, 11, 2, 5, 14, 10, 12, 8, 4, 7, 1]"
instances/MTSP/Laporte/Tabela5/L15-4.txt,15,25,5,yuck,300000,satisfied,24,"[11, 6, 14, 5, 10, 12, 9, 13, 15, 7, 2, 8, 4, 3, 1]"
instances/MTSP/Laporte/Tabela5/L15-5.txt,15,25,5,yuck,300000,satisfied,29,"[15, 13, 14, 2, 3, 4, 9, 12, 7, 5, 8, 6, 1, 10, 11]"
instances/MTSP/Laporte/Tabela5/L15-6.txt,15,25,5,yuck,300000,satisfied,31,"[3, 2, 14, 1, 4, 10, 15, 11, 7, 5, 9, 13, 12, 8, 6]"
instances/MTSP/Laporte/Tabela5/L15-7.txt,15,25,5,yuck,300000,satisfied,28,"[14, 6, 2, 8, 1, 13, 9, 15, 7, 4, 5, 11, 3, 10, 12]"
instances/MTSP/Laporte/Tabela5/L15-8.txt,15,25,5,yuck,300000,satisfied,27,"[7, 14, 15, 10, 9, 6, 2, 12, 1, 3, 13, 8, 4, 5, 11]"
instances/MTSP/Laporte/Tabela5/L15-9.txt,15,25,5,yuck,300000,satisfied,31,"[12, 3, 13, 4, 1, 14, 11, 9, 15, 5, 8, 7, 10, 6, 2]"
instances/MTSP/Laporte/Tabela5/L16-1.txt,15,25,10,org.minizinc.mip.cplex,150000,optimal,15,"[4, 8, 5, 11, 13, 10, 7, 3, 12, 14, 1, 15, 2, 9, 6]"
instances/MTSP/Laporte/Tabela5/L16-10.txt,15,25,10,org.minizinc.mip.cplex,150000,optimal,15,"[4, 11, 1, 10, 15, 3, 12, 6, 7, 13, 8, 9, 14, 2, 5]"
instances/MTSP/Laporte/Tabela5/L16-2.txt,15,25,10,org.minizinc.mip.cplex,150000,satisfied,17,"[1, 13, 15, 4, 14, 8, 10, 11, 5, 12, 7, 3, 2, 6, 9]"
instances/MTSP/Laporte/Tabela5/L16-3.txt,15,25,10,org.minizinc.mip.cplex,150000,optimal,15,"[2, 15, 10, 8, 13, 1, 5, 6, 12, 9, 7, 3, 14, 11, 4]"
instances/MTSP/Laporte/Tabela5/L16-4.txt,15,25,10,org.minizinc.mip.cplex,150000,optimal,15,"[10, 1, 12, 9, 3, 8, 6, 5, 2, 11, 15, 4, 7, 13, 14]"
