instance,J,T,C,solver,status,objective,schedule
instances/MTSP/Laporte/Tabela4/L12-8.txt,9,25,10,org.minizinc.mip.cplex,optimal,22,"[1, 9, 3, 7, 6, 4, 5, 8, 2]"
instances/MTSP/Laporte/Tabela4/L12-9.txt,9,25,10,org.minizinc.mip.cplex,optimal,17,"[5, 1, 3, 7, 6, 8, 2, 9, 4]"
instances/MTSP/Laporte/Tabela4/L13-1.txt,9,25,10,org.minizinc.mip.cplex,satisfied,23,"[8, 2, 4, 3, 5, 1, 6, 7, 9]"
instances/MTSP/Laporte/Tabela4/L13-10.txt,9,25,10,org.minizinc.mip.cplex,satisfied,20,"[3, 1, 5, 9, 8, 2, 4, 7, 6]"
instances/MTSP/Laporte/Tabela4/L13-2.txt,9,25,10,org.minizinc.mip.cplex,satisfied,24,"[1, 4, 5, 6, 9, 2, 3, 7, 8]"
instances/MTSP/Laporte/Tabela4/L13-3.txt,9,25,10,org.minizinc.mip.cplex,optimal,23,"[2, 7, 4, 5, 9, 6, 1, 8, 3]"
instances/MTSP/Laporte/Tabela4/L13-4.txt,9,25,10,org.minizinc.mip.cplex,satisfied,26,"[6, 8, 9, 3, 7, 2, 1, 5, 4]"
instances/MTSP/Laporte/Tabela4/L13-5.txt,9,25,10,org.minizinc.mip.cplex,satisfied,20,"[5, 4, 9, 7, 3, 8, 1, 6, 2]"
instances/MTSP/Laporte/Tabela4/L13-6.txt,9,25,10,org.minizinc.mip.cplex,satisfied,21,"[5, 1, 4, 9, 8, 7, 6, 3, 2]"
instances/MTSP/Laporte/Tabela4/L13-7.txt,9,25,10,org.minizinc.mip.cplex,satisfied,23,"[8, 4, 7, 6, 1, 2, 9, 3, 5]"
instances/MTSP/Laporte/Tabela4/L13-8.txt,9,25,10,org.minizinc.mip.cplex,optimal,21,"[7, 1, 8, 9, 4, 2, 3, 6, 5]"
instances/MTSP/Laporte/Tabela4/L13-9.txt,9,25,10,org.minizinc.mip.cplex,satisfied,24,"[8, 4, 3, 7, 5, 1, 2, 6, 9]"
instances/MTSP/Laporte/Tabela4/L14-1.txt,9,25,15,org.minizinc.mip.cplex,satisfied,11,"[6, 3, 2, 1, 7, 9, 8, 4, 5]"
instances/MTSP/Laporte/Tabela4/L14-10.txt,9,25,15,org.minizinc.mip.cplex,satisfied,10,"[7, 3, 2, 9, 6, 1, 5, 8, 4]"
instances/MTSP/Laporte/Tabela4/L14-2.txt,9,25,15,org.minizinc.mip.cplex,satisfied,11,"[1, 4, 9, 8, 6, 2, 7, 3, 5]"
instances/MTSP/Laporte/Tabela4/L14-3.txt,9,25,15,org.minizinc.mip.cplex,satisfied,10,"[5, 9, 1, 8, 7, 4, 2, 6, 3]"
instances/MTSP/Laporte/Tabela4/L14-4.txt,9,25,15,org.minizinc.mip.cplex,satisfied,11,"[6, 1, 5, 7, 9, 3, 8, 4, 2]"
instances/MTSP/Laporte/Tabela4/L14-5.txt,9,25,15,org.minizinc.mip.cplex,satisfied,10,"[3, 4, 1, 5, 9, 6, 7, 2, 8]"
instances/MTSP/Laporte/Tabela4/L14-6.txt,9,25,15,org.minizinc.mip.cplex,satisfied,10,"[8, 5, 1, 3, 2, 7, 6, 4, 9]"
instances/MTSP/Laporte/Tabela4/L14-7.txt,9,25,15,org.minizinc.mip.cplex,satisfied,11,"[3, 9, 8, 7, 2, 6, 4, 1, 5]"
instances/MTSP/Laporte/Tabela4/L14-8.txt,9,25,15,org.minizinc.mip.cplex,satisfied,10,"[2, 8, 1, 3, 4, 6, 7, 5, 9]"
instances/MTSP/Laporte/Tabela4/L14-9.txt,9,25,15,org.minizinc.mip.cplex,satisfied,10,"[4, 2, 6, 8, 9, 5, 7, 3, 1]"
instances/MTSP/Laporte/Tabela4/L15-1.txt,9,25,15,org.minizinc.mip.cplex,optimal,14,"[9, 7, 8, 6, 4, 3, 1, 5, 2]"
instances/MTSP/Laporte/Tabela4/L15-10.txt,9,25,15,org.minizinc.mip.cplex,optimal,13,"[7, 6, 5, 8, 9, 4, 2, 1, 3]"
instances/MTSP/Laporte/Tabela4/L15-2.txt,9,25,15,org.minizinc.mip.cplex,optimal,16,"[2, 4, 8, 5, 6, 7, 9, 3, 1]"
instances/MTSP/Laporte/Tabela4/L15-3.txt,9,25,15,org.minizinc.mip.cplex,satisfied,12,"[8, 5, 7, 4, 3, 9, 6, 1, 2]"
instances/MTSP/Laporte/Tabela4/L15-4.txt,9,25,15,org.minizinc.mip.cplex,optimal,14,"[4, 5, 6, 1, 2, 3, 9, 8, 7]"
instances/MTSP/Laporte/Tabela4/L15-5.txt,9,25,15,org.minizinc.mip.cplex,satisfied,12,"[4, 9, 3, 6, 1, 2, 5, 8, 7]"
instances/MTSP/Laporte/Tabela4/L15-6.txt,9,25,15,org.minizinc.mip.cplex,optimal,12,"[7, 1, 4, 6, 8, 9, 5, 3, 2]"
instances/MTSP/Laporte/Tabela4/L15-7.txt,9,25,15,org.minizinc.mip.cplex,optimal,16,"[8, 4, 9, 7, 6, 2, 1, 5, 3]"
instances/MTSP/Laporte/Tabela4/L15-8.txt,9,25,15,org.minizinc.mip.cplex,optimal,15,"[5, 8, 4, 7, 9, 2, 1, 3, 6]"
instances/MTSP/Laporte/Tabela4/L15-9.txt,9,25,15,org.minizinc.mip.cplex,optimal,13,"[3, 2, 1, 8, 6, 7, 4, 9, 5]"
instances/MTSP/Laporte/Tabela4/L16-1.txt,9,25,15,org.minizinc.mip.cplex,optimal,15,"[7, 9, 4, 5, 8, 1, 6, 3, 2]"
instances/MTSP/Laporte/Tabela4/L16-10.txt,9,25,15,org.minizinc.mip.cplex,optimal,16,"[1, 2, 9, 5, 8, 7, 4, 6, 3]"
instances/MTSP/Laporte/Tabela4/L16-2.txt,9,25,15,org.minizinc.mip.cplex,satisfied,13,"[2, 4, 7, 8, 5, 6, 9, 3, 1]"
instances/MTSP/Laporte/Tabela4/L16-3.txt,9,25,15,org.minizinc.mip.cplex,optimal,16,"[3, 6, 7, 4, 8, 9, 5, 1, 2]"
instances/MTSP/Laporte/Tabela4/L16-4.txt,9,25,15,org.minizinc.mip.cplex,optimal,15,"[6, 2, 1, 7, 9, 3, 5, 8, 4]"
instances/MTSP/Laporte/Tabela4/L16-5.txt,9,25,15,org.minizinc.mip.cplex,optimal,13,"[1, 4, 9, 2, 6, 8, 3, 5, 7]"
instances/MTSP/Laporte/Tabela4/L16-6.txt,9,25,15,org.minizinc.mip.cplex,satisfied,22,"[6, 7, 9, 5, 4, 1, 8, 3, 2]"
instances/MTSP/Laporte/Tabela4/L16-7.txt,9,25,15,org.minizinc.mip.cplex,satisfied,14,"[3, 8, 7, 1, 5, 2, 6, 4, 9]"
instances/MTSP/Laporte/Tabela4/L16-8.txt,9,25,15,org.minizinc.mip.cplex,satisfied,17,"[2, 1, 9, 6, 7, 4, 3, 5, 8]"
instances/MTSP/Laporte/Tabela4/L16-9.txt,9,25,15,org.minizinc.mip.cplex,satisfied,20,"[6, 4, 1, 7, 5, 3, 2, 9, 8]"
instances/MTSP/Laporte/Tabela4/L17-1.txt,9,25,15,org.minizinc.mip.cplex,satisfied,25,"[5, 6, 8, 3, 4, 9, 7, 1, 2]"
instances/MTSP/Laporte/Tabela4/L17-10.txt,9,25,15,org.minizinc.mip.cplex,optimal,20,"[5, 4, 1, 8, 6, 9, 2, 7, 3]"
instances/MTSP/Laporte/Tabela4/L17-2.txt,9,25,15,org.minizinc.mip.cplex,optimal,25,"[1, 7, 8, 5, 6, 4, 3, 2, 9]"
instances/MTSP/Laporte/Tabela4/L17-3.txt,9,25,15,org.minizinc.mip.cplex,optimal,25,"[1, 6, 8, 5, 4, 3, 2, 7, 9]"
instances/MTSP/Laporte/Tabela4/L17-4.txt,9,25,15,org.minizinc.mip.cplex,optimal,22,"[5, 3, 9, 6, 2, 8, 1, 4, 7]"
instances/MTSP/Laporte/Tabela4/L17-5.txt,9,25,15,org.minizinc.mip.cplex,satisfied,21,"[4, 6, 9, 5, 1, 7, 3, 8, 2]"
instances/MTSP/Laporte/Tabela4/L17-6.txt,9,25,15,org.minizinc.mip.cplex,optimal,26,"[5, 3, 7, 4, 1, 9, 8, 2, 6]"
instances/MTSP/Laporte/Tabela4/L17-7.txt,9,25,15,org.minizinc.mip.cplex,satisfied,24,"[1, 5, 8, 4, 9, 3, 2, 7, 6]"
instances/MTSP/Laporte/Tabela4/L17-8.txt,9,25,15,org.minizinc.mip.cplex,satisfied,24,"[4, 7, 8, 1, 3, 6, 9, 5, 2]"
instances/MTSP/Laporte/Tabela4/L17-9.txt,9,25,15,org.minizinc.mip.cplex,optimal,23,"[5, 8, 7, 1, 6, 2, 9, 3, 4]"
instances/MTSP/Laporte/Tabela4/L18-1.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[5, 9, 7, 4, 8, 2, 6, 3, 1]"
instances/MTSP/Laporte/Tabela4/L18-10.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[2, 4, 3, 9, 5, 7, 1, 6, 8]"
instances/MTSP/Laporte/Tabela4/L18-2.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[7, 6, 1, 8, 9, 5, 3, 4, 2]"
instances/MTSP/Laporte/Tabela4/L18-3.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[8, 1, 3, 7, 6, 5, 4, 2, 9]"
instances/MTSP/Laporte/Tabela4/L18-4.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[8, 1, 4, 5, 7, 3, 2, 6, 9]"
instances/MTSP/Laporte/Tabela4/L18-5.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[3, 7, 4, 1, 9, 5, 6, 2, 8]"
