instance,J,T,C,solver,time_limit(msec),status,objective,sequence
instances/MTSP/Laporte/Tabela3/L1-1.txt,8,15,5,org.minizinc.mip.cplex,600000,optimal,13,"[1, 5, 3, 6, 4, 7, 8, 2]"
instances/MTSP/Laporte/Tabela3/L1-10.txt,8,15,5,org.minizinc.mip.cplex,600000,optimal,10,"[7, 6, 5, 4, 3, 2, 1, 8]"
instances/MTSP/Laporte/Tabela3/L1-2.txt,8,15,5,org.minizinc.mip.cplex,600000,optimal,12,"[3, 6, 5, 2, 1, 7, 8, 4]"
instances/MTSP/Laporte/Tabela3/L1-3.txt,8,15,5,org.minizinc.mip.cplex,600000,optimal,10,"[2, 8, 4, 1, 5, 7, 6, 3]"
instances/MTSP/Laporte/Tabela3/L1-4.txt,8,15,5,org.minizinc.mip.cplex,600000,optimal,13,"[5, 2, 8, 6, 3, 4, 1, 7]"
instances/MTSP/Laporte/Tabela3/L1-5.txt,8,15,5,org.minizinc.mip.cplex,600000,optimal,11,"[2, 6, 4, 8, 5, 7, 1, 3]"
instances/MTSP/Laporte/Tabela3/L1-6.txt,8,15,5,org.minizinc.mip.cplex,600000,optimal,14,"[6, 1, 2, 4, 5, 7, 3, 8]"
instances/MTSP/Laporte/Tabela3/L1-7.txt,8,15,5,org.minizinc.mip.cplex,600000,optimal,14,"[1, 7, 3, 2, 6, 5, 4, 8]"
instances/MTSP/Laporte/Tabela3/L1-8.txt,8,15,5,org.minizinc.mip.cplex,600000,optimal,11,"[5, 8, 7, 1, 3, 4, 2, 6]"
instances/MTSP/Laporte/Tabela3/L1-9.txt,8,15,5,org.minizinc.mip.cplex,600000,optimal,12,"[4, 6, 7, 2, 8, 1, 3, 5]"
instances/MTSP/Laporte/Tabela3/L10-1.txt,8,20,15,org.minizinc.mip.cplex,600000,optimal,9,"[1, 5, 6, 2, 3, 7, 4, 8]"
instances/MTSP/Laporte/Tabela3/L10-10.txt,8,20,15,org.minizinc.mip.cplex,600000,optimal,9,"[1, 5, 8, 6, 2, 3, 7, 4]"
instances/MTSP/Laporte/Tabela3/L10-2.txt,8,20,15,org.minizinc.mip.cplex,600000,optimal,9,"[6, 4, 1, 5, 7, 2, 3, 8]"
instances/MTSP/Laporte/Tabela3/L10-3.txt,8,20,15,org.minizinc.mip.cplex,600000,optimal,9,"[1, 3, 8, 5, 7, 6, 4, 2]"
instances/MTSP/Laporte/Tabela3/L10-4.txt,8,20,15,org.minizinc.mip.cplex,600000,optimal,6,"[2, 6, 3, 4, 1, 7, 5, 8]"
instances/MTSP/Laporte/Tabela3/L10-5.txt,8,20,15,org.minizinc.mip.cplex,600000,optimal,9,"[2, 8, 4, 1, 7, 6, 5, 3]"
instances/MTSP/Laporte/Tabela3/L10-6.txt,8,20,15,org.minizinc.mip.cplex,600000,optimal,9,"[1, 5, 2, 3, 6, 8, 7, 4]"
instances/MTSP/Laporte/Tabela3/L10-7.txt,8,20,15,org.minizinc.mip.cplex,600000,optimal,5,"[3, 4, 8, 6, 5, 1, 2, 7]"
instances/MTSP/Laporte/Tabela3/L10-8.txt,8,20,15,org.minizinc.mip.cplex,600000,optimal,7,"[4, 6, 3, 8, 5, 1, 2, 7]"
instances/MTSP/Laporte/Tabela3/L10-9.txt,8,20,15,org.minizinc.mip.cplex,600000,optimal,10,"[4, 8, 1, 7, 3, 2, 6, 5]"
instances/MTSP/Laporte/Tabela3/L11-1.txt,8,20,15,org.minizinc.mip.cplex,600000,optimal,10,"[2, 8, 4, 5, 6, 1, 3, 7]"
instances/MTSP/Laporte/Tabela3/L11-10.txt,8,20,15,org.minizinc.mip.cplex,600000,optimal,11,"[3, 4, 1, 5, 8, 6, 2, 7]"
