instance,J,T,C,solver,time_limit(msec),status,objective,schedule
instances/MTSP/Crama/Tabela1/s1n001.txt,10,10,4,yuck,300000,satisfied,7,"[5, 6, 2, 7, 1, 8, 4, 9, 3, 10]"
instances/MTSP/Crama/Tabela1/s1n002.txt,10,10,4,cplex,300000,optimal,12,"[1, 10, 6, 5, 7, 2, 8, 4, 3, 9]"
instances/MTSP/Crama/Tabela1/s1n003.txt,10,10,4,cplex,300000,optimal,10,"[3, 4, 8, 2, 10, 1, 6, 9, 7, 5]"
instances/MTSP/Crama/Tabela1/s1n004.txt,10,10,4,cplex,300000,optimal,9,"[3, 8, 5, 9, 2, 7, 10, 4, 1, 6]"
instances/MTSP/Crama/Tabela1/s1n005.txt,10,10,4,cplex,300000,optimal,8,"[2, 6, 5, 10, 3, 7, 4, 8, 1, 9]"
instances/MTSP/Crama/Tabela1/s1n006.txt,10,10,4,cplex,300000,optimal,9,"[5, 9, 4, 8, 1, 7, 10, 3, 2, 6]"
instances/MTSP/Crama/Tabela1/s1n007.txt,10,10,4,cplex,300000,optimal,8,"[1, 9, 2, 4, 5, 3, 7, 10, 8, 6]"
instances/MTSP/Crama/Tabela1/s1n008.txt,10,10,4,cplex,300000,optimal,11,"[8, 5, 1, 2, 7, 3, 10, 6, 4, 9]"
instances/MTSP/Crama/Tabela1/s1n009.txt,10,10,4,cplex,1200000,optimal,8,"[2, 1, 6, 8, 4, 7, 9, 5, 10, 3]"
instances/MTSP/Crama/Tabela1/s1n010.txt,10,10,4,yuck,300000,optimal,9,"[9, 6, 1, 7, 4, 3, 2, 5, 8, 10]"
instances/MTSP/Crama/Tabela2/s1n001.txt,10,10,5,yuck,300000,optimal,5,"[5, 6, 2, 7, 9, 1, 3, 4, 10, 8]"
instances/MTSP/Crama/Tabela2/s1n002.txt,10,10,5,cplex,300000,optimal,8,"[1, 9, 10, 6, 4, 8, 3, 2, 7, 5]"
instances/MTSP/Crama/Tabela2/s1n003.txt,10,10,5,yuck,300000,satisfied,6,"[5, 7, 9, 1, 6, 10, 3, 2, 4, 8]"
instances/MTSP/Crama/Tabela2/s1n004.txt,10,10,5,yuck,300000,satisfied,6,"[6, 1, 10, 4, 2, 7, 9, 3, 5, 8]"
instances/MTSP/Crama/Tabela2/s1n005.txt,10,10,5,yuck,300000,optimal,5,"[2, 10, 6, 5, 7, 3, 4, 8, 1, 9]"
