instance,J,T,C,solver,time_limit,status,objective,sequence
instances/MTSP/Crama/Tabela1/s4n001.txt,40,60,20,org.minizinc.mip.cplex,300000,satisfied,212,"[18, 16, 11, 13, 8, 30, 20, 10, 36, 7, 4, 6, 5, 3, 38, 39, 35, 31, 23, 21, 29, 17, 28, 40, 22, 2, 1, 32, 14, 19, 26, 34, 27, 12, 15, 9, 33, 25, 24, 37]"
instances/MTSP/Crama/Tabela1/s4n002.txt,40,60,20,org.minizinc.mip.cplex,300000,satisfied,241,"[20, 11, 37, 32, 35, 29, 24, 8, 2, 7, 33, 16, 14, 10, 9, 25, 6, 38, 18, 5, 36, 15, 4, 26, 40, 1, 21, 34, 3, 28, 39, 12, 19, 17, 31, 30, 22, 27, 13, 23]"
instances/MTSP/Crama/Tabela1/s4n003.txt,40,60,20,org.minizinc.mip.cplex,300000,satisfied,228,"[27, 6, 19, 31, 2, 10, 32, 21, 30, 15, 26, 18, 7, 35, 28, 8, 4, 20, 11, 5, 22, 17, 34, 13, 16, 1, 3, 33, 24, 12, 39, 23, 25, 36, 37, 29, 40, 9, 14, 38]"
instances/MTSP/Crama/Tabela1/s4n004.txt,40,60,20,org.minizinc.mip.cplex,300000,satisfied,223,"[12, 23, 25, 26, 17, 14, 4, 11, 13, 1, 3, 20, 15, 37, 18, 30, 2, 5, 29, 38, 31, 39, 24, 6, 16, 28, 34, 19, 32, 33, 8, 22, 7, 9, 21, 36, 27, 40, 10, 35]"
instances/MTSP/Crama/Tabela1/s4n005.txt,40,60,20,org.minizinc.mip.cplex,300000,satisfied,242,"[15, 7, 26, 29, 5, 39, 23, 8, 12, 11, 34, 37, 2, 13, 10, 27, 33, 24, 9, 28, 30, 17, 1, 16, 18, 22, 14, 25, 3, 38, 21, 20, 31, 19, 6, 36, 35, 4, 40, 32]"
instances/MTSP/Crama/Tabela1/s4n006.txt,40,60,20,org.minizinc.mip.cplex,300000,satisfied,228,"[8, 11, 20, 4, 23, 31, 25, 5, 15, 2, 40, 35, 36, 1, 21, 9, 33, 29, 34, 32, 3, 6, 7, 24, 39, 37, 30, 28, 38, 22, 19, 18, 14, 10, 27, 12, 17, 16, 13, 26]"
instances/MTSP/Crama/Tabela1/s4n007.txt,40,60,20,org.minizinc.mip.cplex,300000,satisfied,230,"[17, 39, 37, 40, 33, 28, 21, 25, 6, 38, 4, 32, 30, 9, 7, 8, 15, 19, 18, 11, 13, 24, 2, 3, 26, 16, 36, 35, 5, 20, 1, 10, 22, 34, 31, 27, 12, 29, 14, 23]"
instances/MTSP/Crama/Tabela1/s4n008.txt,40,60,20,org.minizinc.mip.cplex,300000,satisfied,241,"[22, 10, 33, 30, 39, 9, 26, 5, 1, 27, 18, 32, 3, 29, 15, 6, 2, 4, 24, 40, 16, 8, 13, 35, 7, 34, 21, 14, 36, 11, 38, 28, 12, 31, 19, 37, 17, 25, 20, 23]"
instances/MTSP/Crama/Tabela1/s4n009.txt,40,60,20,org.minizinc.mip.cplex,300000,satisfied,214,"[2, 9, 30, 4, 35, 7, 19, 22, 29, 25, 21, 11, 40, 14, 10, 20, 18, 31, 39, 12, 1, 17, 28, 5, 16, 27, 3, 24, 32, 26, 33, 23, 8, 15, 37, 6, 38, 34, 36, 13]"
instances/MTSP/Crama/Tabela1/s4n010.txt,40,60,20,org.minizinc.mip.cplex,300000,satisfied,193,"[8, 33, 14, 11, 39, 28, 23, 5, 26, 36, 3, 20, 1, 31, 9, 27, 32, 38, 37, 2, 22, 17, 15, 34, 21, 7, 24, 10, 12, 40, 19, 30, 6, 13, 18, 25, 4, 16, 29, 35]"
instances/MTSP/Crama/Tabela2/s4n001.txt,40,60,22,org.minizinc.mip.cplex,300000,satisfied,190,"[30, 8, 35, 7, 21, 13, 15, 24, 9, 6, 4, 27, 31, 39, 34, 16, 11, 25, 37, 22, 38, 26, 23, 14, 19, 20, 33, 18, 17, 10, 2, 1, 32, 12, 3, 5, 28, 40, 29, 36]"
instances/MTSP/Crama/Tabela2/s4n002.txt,40,60,22,org.minizinc.mip.cplex,300000,satisfied,213,"[20, 21, 37, 11, 9, 39, 1, 26, 5, 32, 27, 36, 25, 24, 16, 19, 40, 28, 15, 8, 13, 7, 18, 4, 3, 14, 34, 22, 35, 10, 23, 2, 31, 30, 17, 33, 38, 12, 6, 29]"
instances/MTSP/Crama/Tabela2/s4n003.txt,40,60,22,org.minizinc.mip.cplex,300000,satisfied,200,"[10, 17, 20, 5, 15, 3, 32, 12, 26, 35, 21, 6, 4, 13, 7, 40, 27, 1, 2, 22, 11, 16, 8, 38, 19, 34, 24, 23, 39, 30, 36, 29, 9, 14, 28, 33, 37, 31, 25, 18]"
instances/MTSP/Crama/Tabela2/s4n004.txt,40,60,22,org.minizinc.mip.cplex,300000,satisfied,211,"[19, 25, 34, 10, 35, 11, 21, 39, 24, 3, 13, 2, 30, 38, 16, 37, 22, 4, 7, 12, 31, 1, 26, 17, 29, 5, 33, 32, 9, 20, 18, 8, 23, 28, 6, 15, 14, 36, 40, 27]"
instances/MTSP/Crama/Tabela2/s4n005.txt,40,60,22,org.minizinc.mip.cplex,300000,satisfied,193,"[17, 4, 36, 14, 31, 19, 6, 11, 27, 10, 25, 12, 40, 8, 30, 38, 16, 13, 21, 23, 5, 2, 28, 20, 24, 33, 29, 1, 32, 7, 15, 34, 3, 37, 9, 22, 18, 26, 39, 35]"
