instance,solver,status,objective,schedule
instances/MTSP/Catanzaro/A2-1.txt,org.minizinc.mip.cplex,optimal,6,"[8, 1, 5, 7, 3, 4, 9, 6, 2, 10]"
instances/MTSP/Catanzaro/A2-10.txt,org.minizinc.mip.cplex,optimal,6,"[8, 10, 2, 1, 7, 9, 4, 6, 3, 5]"
instances/MTSP/Catanzaro/A2-2.txt,org.minizinc.mip.cplex,optimal,5,"[9, 6, 2, 8, 7, 10, 5, 1, 3, 4]"
instances/MTSP/Catanzaro/A2-3.txt,org.minizinc.mip.cplex,optimal,5,"[4, 9, 7, 10, 2, 1, 6, 8, 3, 5]"
instances/MTSP/Catanzaro/A2-4.txt,org.minizinc.mip.cplex,optimal,6,"[2, 10, 6, 5, 4, 8, 1, 9, 7, 3]"
instances/MTSP/Catanzaro/A2-5.txt,org.minizinc.mip.cplex,optimal,6,"[7, 4, 10, 5, 9, 3, 2, 1, 8, 6]"
instances/MTSP/Catanzaro/A2-6.txt,org.minizinc.mip.cplex,optimal,7,"[9, 10, 1, 6, 4, 5, 7, 3, 2, 8]"
instances/MTSP/Catanzaro/A2-7.txt,org.minizinc.mip.cplex,optimal,6,"[9, 8, 6, 1, 7, 4, 2, 10, 5, 3]"
instances/MTSP/Catanzaro/A2-8.txt,org.minizinc.mip.cplex,optimal,5,"[9, 6, 2, 8, 7, 3, 4, 10, 5, 1]"
instances/MTSP/Catanzaro/A2-9.txt,org.minizinc.mip.cplex,optimal,6,"[8, 7, 3, 9, 10, 2, 6, 4, 5, 1]"
