instance,solver,status,objective,schedule
instances/MTSP/Catanzaro/A1-1.txt,org.minizinc.mip.cplex,optimal,10,"[6, 3, 7, 8, 1, 5, 4, 9, 10, 2]"
instances/MTSP/Catanzaro/A1-10.txt,org.minizinc.mip.cplex,optimal,8,"[10, 8, 2, 1, 7, 9, 5, 6, 4, 3]"
instances/MTSP/Catanzaro/A1-2.txt,org.minizinc.mip.cplex,optimal,7,"[3, 10, 8, 7, 2, 9, 6, 4, 1, 5]"
instances/MTSP/Catanzaro/A1-3.txt,org.minizinc.mip.cplex,optimal,8,"[3, 8, 6, 10, 2, 4, 9, 7, 1, 5]"
instances/MTSP/Catanzaro/A1-4.txt,org.minizinc.mip.cplex,optimal,9,"[7, 3, 9, 2, 1, 4, 8, 5, 6, 10]"
instances/MTSP/Catanzaro/A1-5.txt,org.minizinc.mip.cplex,optimal,9,"[7, 4, 8, 10, 9, 1, 3, 2, 6, 5]"
instances/MTSP/Catanzaro/A1-6.txt,org.minizinc.mip.cplex,optimal,10,"[5, 6, 9, 1, 4, 3, 2, 7, 10, 8]"
instances/MTSP/Catanzaro/A1-7.txt,org.minizinc.mip.cplex,optimal,8,"[9, 10, 6, 8, 4, 1, 3, 7, 2, 5]"
instances/MTSP/Catanzaro/A1-8.txt,org.minizinc.mip.cplex,optimal,7,"[4, 5, 10, 1, 3, 2, 9, 7, 6, 8]"
instances/MTSP/Catanzaro/A1-9.txt,org.minizinc.mip.cplex,optimal,9,"[1, 8, 3, 7, 10, 9, 2, 4, 6, 5]"
